2026-01-10 00:00:53.872 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] Extracting URL: https://www.youtube.com/watch?v=APkBClOJSoY
2026-01-10 00:00:53.872 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading webpage
2026-01-10 00:00:54.755 | WARNING  | yt_dlp.YoutubeDL:report_warning:1134 - [youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one
2026-01-10 00:00:54.759 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading android sdkless player API JSON
2026-01-10 00:00:54.902 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading web safari player API JSON
2026-01-10 00:00:55.130 | WARNING  | yt_dlp.YoutubeDL:report_warning:1134 - [youtube] APkBClOJSoY: Some web_safari client https formats have been skipped as they are missing a url. YouTube is forcing SABR streaming for this client. See  https://github.com/yt-dlp/yt-dlp/issues/12482  for more details
2026-01-10 00:00:55.134 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading m3u8 information
2026-01-10 00:00:55.565 | WARNING  | yt_dlp.YoutubeDL:report_warning:1134 - [youtube] APkBClOJSoY: Some web client https formats have been skipped as they are missing a url. YouTube is forcing SABR streaming for this client. See  https://github.com/yt-dlp/yt-dlp/issues/12482  for more details
2026-01-10 00:00:55.711 | ERROR    | yt_dlp.YoutubeDL:to_stderr:1007 - [0;31mERROR:[0m [youtube] APkBClOJSoY: Requested format is not available. Use --list-formats for a list of available formats
2026-01-10 00:00:55.713 | ERROR    | download_thread:run:118 - Download attempt 1 failed for https://www.youtube.com/watch?v=APkBClOJSoY: [0;31mERROR:[0m [youtube] APkBClOJSoY: Requested format is not available. Use --list-formats for a list of available formats
2026-01-10 00:00:58.762 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] Extracting URL: https://www.youtube.com/watch?v=APkBClOJSoY
2026-01-10 00:00:58.763 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading webpage
2026-01-10 00:00:59.639 | WARNING  | yt_dlp.YoutubeDL:report_warning:1134 - [youtube] No supported JavaScript runtime could be found. Only deno is enabled by default; to use another runtime add  --js-runtimes RUNTIME[:PATH]  to your command/config. YouTube extraction without a JS runtime has been deprecated, and some formats may be missing. See  https://github.com/yt-dlp/yt-dlp/wiki/EJS  for details on installing one
2026-01-10 00:00:59.642 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading android sdkless player API JSON
2026-01-10 00:00:59.809 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading web safari player API JSON
2026-01-10 00:01:00.073 | WARNING  | yt_dlp.YoutubeDL:report_warning:1134 - [youtube] APkBClOJSoY: Some web_safari client https formats have been skipped as they are missing a url. YouTube is forcing SABR streaming for this client. See  https://github.com/yt-dlp/yt-dlp/issues/12482  for more details
2026-01-10 00:01:00.077 | DEBUG    | yt_dlp.YoutubeDL:to_screen:995 - [youtube] APkBClOJSoY: Downloading m3u8 information
